e;PDF;ec6;pdfc6;dC;LC;dS;LS;dCH;LCH;dIP;LIP
158.2098;0;152.3053;0;48.709691;1.106691751;174.670446;1.106148843;87.651462;1.106333099;115.80919;1.105987324
159.7098;0;153.8053;0;49.189181;1.117686127;175.979393;1.117587344;88.461875;1.117046111;116.619128;1.117485345
;;155.3053;0;49.834831;1.12866086;177.620685;1.128971293;89.271064;1.1285009;117.595193;1.128984325
;;156.8053;0;50.147278;1.140210289;179.097413;1.139407327;89.914514;1.139720318;118.4061;1.139895119
;;;;50.461096;1.150929157;180.407257;1.150302012;90.557877;1.150992807;119.549364;1.150744601
;;;;50.94036;1.162060832;182.048867;1.161492678;91.202309;1.161616949;120.526324;1.161700493
;;;;51.420287;1.172790535;183.524169;1.172793133;91.679864;1.172695832;121.004544;1.172874289
;;;;51.899439;1.183989566;184.999382;1.184147579;92.322972;1.184122696;121.980749;1.184287881
;;;;52.377811;1.195661877;186.475699;1.194832707;93.465236;1.19508038;122.957457;1.195396763
;;;;52.857575;1.206490644;187.951339;1.205928687;94.109349;1.205898048;123.933488;1.206916145
;;;;53.503502;1.217297481;189.592511;1.217384677;94.585983;1.217535004;124.745;1.217460216
;;;;53.649998;1.228739892;191.567242;1.228050882;95.229342;1.228809393;125.389622;1.228467248
;;;;54.12887;1.24010927;192.710798;1.239042547;95.873216;1.239772135;126.200385;1.23946598
;;;;54.774635;1.25101399;194.185495;1.25070973;96.517012;1.250781744;127.509122;1.250711503
;;;;55.087917;1.262057628;195.495109;1.261744219;97.161333;1.261473682;128.485944;1.261751073
;;;;55.566623;1.273527403;196.969633;1.273516161;97.639362;1.272264887;128.797813;1.27305998
;;;;56.212229;1.284528784;198.612139;1.284164161;98.282325;1.283779562;129.940698;1.284138839
;;;;56.525351;1.295668867;200.253951;1.295232586;98.925206;1.295344173;130.916672;1.29569283
;;;;57.337068;1.306680451;201.729465;1.3064041;99.901664;1.306107036;131.561358;1.306660565
;;;;57.48387;1.317937389;203.206151;1.316866004;100.877435;1.317285988;132.539028;1.317186783
;;;;57.963801;1.328665014;204.680886;1.328510107;101.35509;1.328303959;133.515386;1.328507775
;;;;58.276716;1.339930715;206.156797;1.339441598;101.832673;1.339365773;134.658508;1.339442798
;;;;58.92201;1.351121605;207.466415;1.350472964;102.309563;1.350847884;135.468494;1.350912429
;;;;59.069361;1.362045956;208.775325;1.361933662;102.952593;1.362321739;136.27903;1.362048285
;;;;59.549094;1.372893087;210.417868;1.372559567;103.596798;1.373083592;137.256343;1.372790795
;;;;60.02726;1.384690484;212.059062;1.384002584;104.407154;1.383831504;138.232953;1.383958876
;;;;60.506892;1.395598625;213.535243;1.394770164;104.883744;1.395494987;139.20949;1.395171422
;;;;60.654047;1.406642204;215.010711;1.405970126;105.693959;1.406327904;140.019097;1.406870484
;;;;61.300563;1.417091656;216.320533;1.416877745;106.504106;1.417201951;141.162985;1.417341484
;;;;61.778517;1.429017221;218.29386;1.428394566;106.98175;1.42822682;141.640651;1.428850874
;;;;62.09174;1.440096673;219.769106;1.439728889;107.624904;1.439625851;142.617542;1.439848386
;;;;62.571901;1.45068456;221.41115;1.450656708;108.101768;1.451123583;143.428796;1.450549665
;;;;62.884255;1.462290348;222.886251;1.462079132;108.745421;1.462219541;144.404252;1.462417186
;;;;63.529762;1.473351788;224.361937;1.473146952;109.389655;1.4729643;145.049153;1.473254865
;;;;64.009784;1.484023911;225.838215;1.483855875;109.70139;1.483856675;146.026426;1.484021601
;;;;64.322767;1.495248407;227.479982;1.49495134;110.178628;1.495127559;146.504982;1.494991385
;;;;64.968131;1.506396627;229.453449;1.506383141;110.988887;1.50593387;147.647685;1.506180594
;;;;65.114804;1.517732359;230.597092;1.517322708;111.798427;1.51717631;148.457884;1.517520831
;;;;65.427642;1.529044567;232.239323;1.528137545;112.441681;1.528514411;149.434232;1.528847939
;;;;65.575794;1.539483634;233.881489;1.538991522;113.084867;1.539893587;150.24496;1.539867236
;;;;66.220969;1.550746616;235.356022;1.55075761;113.396215;1.551020719;151.221842;1.550870678
;;;;66.533667;1.562144112;236.831837;1.561747055;114.206151;1.562022805;152.032443;1.561967452
;;;;67.344958;1.573413239;238.307588;1.57277558;115.016024;1.57306327;152.84298;1.573102949
;;;;67.824569;1.584334512;239.782592;1.584256656;115.327853;1.583899065;153.81967;1.584222705
;;;;67.805494;1.59544009;241.258211;1.595364733;116.469363;1.595313633;154.629401;1.595846591
;;;;68.450431;1.606847299;242.568236;1.606149955;117.113503;1.606114699;155.606642;1.606633012
;;;;68.929906;1.617850433;244.376162;1.617226281;117.590691;1.617415691;156.251388;1.617564248
;;;;69.408534;1.629367498;245.683991;1.62934257;118.234033;1.628700741;157.061608;1.62889205
;;;;69.556298;1.640042107;246.828304;1.639875942;118.877993;1.639611305;157.87245;1.639842278
;;;;70.036448;1.650636657;248.304299;1.650756317;119.354994;1.651025727;158.850139;1.650356697
;;;;70.349534;1.661798499;249.946451;1.661618967;120.165736;1.661539348;159.494649;1.661431913
;;;;70.82879;1.672934985;251.089893;1.672680298;120.643303;1.672610863;160.803272;1.672746617
;;;;71.473402;1.684539008;252.232572;1.684203602;121.453244;1.683609954;161.446964;1.684316856
;;;;71.620955;1.695340878;253.875246;1.6947497;121.763785;1.695226012;162.257507;1.695448658
;;;;72.266291;1.70650601;255.184725;1.705865923;122.572912;1.706718478;163.06869;1.70619222
;;;;72.579156;1.717802275;256.494144;1.717018473;123.383368;1.717405195;164.045333;1.717340741
;;;;72.891977;1.729125397;257.803502;1.728207353;124.026856;1.728602216;164.854995;1.729006314
;;;;73.371789;1.739924827;258.946585;1.739486419;124.670985;1.739410253;165.499791;1.739908021
;;;;74.016948;1.751196624;260.42204;1.750694113;125.314356;1.750677258;166.310747;1.750789169
;;;;74.329638;1.762599267;261.731219;1.761991999;125.625237;1.762087387;167.120938;1.762134581
